"part_id","local_name_ru","layer","recipe_inputs_ru","recipe_input_ids","notes_ru"
"beam","Балка","corpus_part","Сталь; железо","steel;iron","Несущая деталь корпуса: простая силовая металлоконструкция без легких профильных добавок."
"plating","Обшивка","corpus_part","Сталь; смола; магний","steel;resin;magnesium","Тонкая внешняя кожа: стальной лист, герметик и легкая минеральная добавка без дорогого электрона."
"armor_plate","Бронелист","corpus_part","Сталь; булат; костяная мука","steel;bulat;bone_grit","Защитная плита: сталь дает массу, булат держит удар, костяная мука работает как твердая минерально-керамическая добавка."
"bulkhead","Переборка","corpus_part","Сталь; бакелит; сильвин","steel;bakelite;sylvine","Внутренняя стенка: держит форму, изолирует от огня/химии и разделяет отсеки."
"deck_section","Палубная секция","corpus_part","Сталь; бакелит; кварц","steel;bakelite;quartz","Рабочая верхняя секция под оборудование, башни и люки; кварц усиливает стойкость покрытия."
"airlock","Шлюз","corpus_part","Сталь; латунь; каучук","steel;brass;rubber","Герметичный переход: стальная коробка, латунная арматура и каучуковые уплотнения."
"cowling","Кожух","corpus_part","Электрон; силоксан; стеклокерамика","elektron;siloxane;glass_ceramic","Легкая защитная оболочка вокруг механизмов, сифонов, куполов и горячих выступающих узлов."
"hatch","Люк","corpus_part","Сталь; бронза; каучук","steel;bronze;rubber","Закрываемый доступ: стальная крышка, износостойкая петлевая механика и уплотнение."
"engine","Двигатель","machine_instrument_part","Оркит; уголь; заводная пружина; сервоядро","orkit;charcoal;automaton_mainspring;automaton_servo_core","Тяговая машина теперь опирается не на пачку сплавов, а на летный силовой материал, топливо и восстановленные автоматоновые узлы."
"actuator","Привод","machine_instrument_part","Арамид; медь; сервошарнир; катушка","aramid;copper;automaton_servo_joint;automaton_coil","Привод собирается вокруг точного шарнира и катушки; арамид держит тяги, медь идет в обмотки и команды."
"transmission","Передача","machine_instrument_part","Булат; калибровочная шестерня; заводная пружина; ворвань","bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat","Передача оставляет один твердый рабочий металл, но точность и возврат хода дает сальваж автоматонов."
"pump","Насос","machine_instrument_part","Каучук; кислота; латунный клапан; давлениемер","rubber;acid;automaton_brass_valve;automaton_pressure_gauge","Насос строится на уплотнениях, химически стойкой обработке и готовой точной арматуре давления."
"compressor","Компрессор","machine_instrument_part","Фторопласт; веспар; латунный клапан; давлениемер","fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge","Газовая машина требует стойких прокладок, рабочей газовой среды и точных клапанов с давлениемерами."
"gyroscope","Гироскоп","machine_instrument_part","Инвар; ионид; гироскоп; калибровочная шестерня","invar;ionide;automaton_gyroscope;automaton_calibration_gear","Гироскоп сохраняет стабильный металл, но сердце узла теперь берется из точного сальважа."
"sensor","Сенсор","machine_instrument_part","Стеклокерамика; ионид; оптическая линза; реле","glass_ceramic;ionide;automaton_optic_lens;automaton_relay","Сенсор собирается из оптики, проводящей газовой фракции и точной коммутации, без лишней металлургии."
"calculator","Вычислитель","machine_instrument_part","Текстолит; ионид; памятный барабан; командный цилиндр; контактная гребенка","textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb","Вычислитель стал главным потребителем сложного сальважа: память, команды и контакты приходят из автоматонов."
