modifier_id,local_name_ru,local_name_en,category_id,value_kind,stacking_rule,default_operation,description_ru
ore_processing_speed,Скорость рудной переработки,Ore Processing Speed,ore,percent,additive,add_percent,Ускоряет рудные производственные циклы.
ore_processing_efficiency,Эффективность рудной переработки,Ore Processing Efficiency,ore,percent,additive,add_percent,Повышает выход минералов из руды.
gas_processing_speed,Скорость газовой переработки,Gas Processing Speed,gas,percent,additive,add_percent,Ускоряет конденсацию и очистку газов.
gas_processing_efficiency,Эффективность газовой переработки,Gas Processing Efficiency,gas,percent,additive,add_percent,Повышает выход материалов из газового сырья.
salvage_detail_yield,Выход точных деталей,Salvage Detail Yield,salvage,percent,additive,add_percent,Повышает выход ценных деталей из автоматонов.
salvage_speed,Скорость разборки автоматонов,Salvage Speed,salvage,percent,additive,add_percent,Ускоряет сальваж и разборку автоматонов.
leviathan_butchery_yield,Выход разделки левиафанов,Leviathan Butchery Yield,leviathans,percent,additive,add_percent,Повышает выход полезных частей из туш левиафанов.
leviathan_butchery_speed,Скорость разделки левиафанов,Leviathan Butchery Speed,leviathans,percent,additive,add_percent,Ускоряет разделку и подготовку туш к перевозке.
faction_reputation_gain,Репутация фракций,Faction Reputation Gain,trade,percent,additive,add_percent,Повышает репутацию за поручения и сделки.
faction_trade_discount,Скидка фракционных закупок,Faction Trade Discount,trade,percent,additive,add_percent,Снижает цену закупок у фракционных торговцев.
cascade_recipe_speed,Скорость каскадных рецептов,Cascade Recipe Speed,cascade,percent,additive,add_percent,Ускоряет производство сложных деталей и блоков.
cascade_recipe_efficiency,Экономия каскадных рецептов,Cascade Recipe Efficiency,cascade,percent,additive,add_percent,Снижает расход ресурсов в сложных рецептах.
starter_airship_unlock,Стартовый дирижабль,Starter Airship Unlock,starter,unlock,unique,unlock,Открывает базовые правила стартового корабля.
warehouse_capacity,Емкость складов,Warehouse Capacity,base,percent,additive,add_percent,Увеличивает объемы складов базы и будущих складских зданий.
base_project_speed,Скорость базовых проектов,Base Project Speed,base,percent,additive,add_percent,Ускоряет расчистку и строительство базовых проектов.
dock_loading_speed,Скорость погрузки доков,Dock Loading Speed,base,percent,additive,add_percent,Ускоряет погрузку и разгрузку в доках.
processing_yield,Выход переработки,Processing Yield,production,percent,additive,add_percent,Увеличивает КПД переработки сырья.
processing_cycle_speed,Скорость переработки,Processing Cycle Speed,production,percent,additive,add_percent,Ускоряет производственные циклы переработки.
manufacturing_speed,Скорость сборки,Manufacturing Speed,production,percent,additive,add_percent,Ускоряет каскадную сборку и будущие производственные линии.
cargo_capacity,Грузовой объем кораблей,Ship Cargo Capacity,ships,percent,additive,add_percent,Увеличивает грузовой объем кораблей.
claudium_lift_efficiency,Эффективность клавдиевого подъема,Claudium Lift Efficiency,ships,percent,additive,add_percent,Повышает эффективность подъемного контура.
fuel_use,Расход топлива,Fuel Use,ships,percent,additive,add_percent,Снижает или повышает расход топлива в зависимости от значения.
route_safety,Безопасность маршрутов,Route Safety,logistics,percent,additive,add_percent,Снижает риски маршрутов и будущих idle-доставок.
local_pilot_speed,Скорость островных пилотов,Local Pilot Speed,logistics,percent,additive,add_percent,Ускоряет локальные службы островов.
courier_reward_freight,Фрахт курьерских заявок,Courier Freight Reward,logistics,percent,additive,add_percent,Увеличивает фрахтовую награду курьерской службы.
research_speed,Выработка SP архивов,Archive SP Output,research,percent,additive,add_percent,Увеличивает выработку SP архивами вместо прямого ускорения таймера.
observation_gain,Получение наблюдений,Observation Gain,research,percent,additive,add_percent,Увеличивает выход полевых наблюдений.
recipe_quality_bonus,Качество рецептов,Recipe Quality Bonus,research,percent,additive,add_percent,Повышает качество открываемых рецептов.
design_experience_gain,Очки освоения,Mastery Points Gain,research,percent,additive,add_percent,Увеличивает получение очков освоения.
