job_id,local_name_ru,rank_min,rank_max,fe_share_of_total,resource_tags,can_require_rare,notes_ru
patch_hull,Залатать корпус,2,10,0.10,plates;skin;freight,false,Базовая работа почти у всех кораблей.
replace_beams,Заменить балки,2,10,0.09,beams;metal;freight,false,Сжигает массовые конструкционные материалы.
clean_claudium_loop,Очистить контуры,3,10,0.08,claudium;gas;reagents,false,Связывает ремонт с газами.
repack_lift_cells,Перебрать подъемные ячейки,4,10,0.10,claudium;instrumentation;gas,true,Средняя/поздняя работа.
rebuild_drive,Перебрать тягу,3,10,0.12,mechanical;oil;freight,false,Механика и жир/смазки.
seal_skin,Собрать обшивку,2,10,0.08,skin;cloth;plates,false,Может использовать шкуру левиафанов.
align_instruments,Откалибровать приборы,4,10,0.08,instrumentation;paper;sp_package,true,Иногда просит информационные штуки.
replace_actuators,Поставить приводы,5,10,0.12,automaton_mechanism;mechanical,true,Автоматонный sink.
flush_tanks,Промыть баки,2,8,0.06,water;acid;freight,false,Дешевый ресурсный sink.
restitch_rigging,Перетянуть оснастку,2,8,0.06,cloth;tendons;tools,false,Сухожилия как органический материал.
restore_navigation,Восстановить навигацию,5,10,0.09,relic_info;instrumentation;paper,true,Информационный sink для дорогих корпусов.
final_inspection,Финальная приемка,2,10,0.02,freight,false,Последний небольшой платеж.
