gate_tier,approx_efficiency,rank_band,applies_to_factions,gate_type,expensive_purchase_policy,recipe_unlock_policy,notes_ru
1,30,R4,"all_profile_factions","first_component","Можно купить готовое по очень плохому курсу.","Рецепт открывается ранней репутацией или простым квестом.","Первое столкновение с тем, что одной добычи мало."
2,34,R5,"all_profile_factions","industry_part","Покупка ограничена дневным лимитом.","Рецепт требует репутацию 1-2 и профильную валюту.","Игрок выбирает: переплатить сейчас или вложиться в фракцию."
3,41,R5-R6,"all_profile_factions","special_filter_or_tool","Курс грабительский, но спасает от стопора.","Рецепт через конкретную миссию торговца.","Первый заметный bottleneck для здания или корабля."
4,46,R6,"all_profile_factions","rare_processed_part","Недельный лимит небольшой.","Рецепт требует кампанию/ветку поручений.","Фракция начинает быть не опцией, а частью прогрессии."
5,50,R6-R7,"all_profile_factions","advanced_module_part","Покупка сильно дороже крафта.","Рецепт требует репутацию 2-3.","Переход к средней экономике."
6,58,R7,"all_profile_factions","rank_gate_component","Готовый компонент продается редко.","Рецепт требует книгу/знание плюс фракцию.","Здесь знания и фракции начинают сцепляться."
7,61,R7-R8,"all_profile_factions","high_industry_part","Покупка только лимитами рынка.","Рецепт через сложный квест или достижение фракции.","Открывает устойчивую высокую добычу."
8,68,R8,"all_profile_factions","flagship_subsystem","Очень дорого; покупка как emergency.","Рецепт требует высокий уровень репутации.","Типичный компонент для R8-R9 производства."
9,76,R9,"all_profile_factions","top_t1_subsystem","Недельный лимит 3-5 штук.","Рецепт редкий, может требовать событие/книгу.","Игрок может закрыть дефицит валютой фракции."
10,83,R10,"all_profile_factions","r10_keystone","Покупка роскошная и ограниченная.","Рецепт требует глубокую репутацию, знания и цепочку производства.","Финальный T1-замок перед устойчивым R10."
11,base,L5,stone_vault,"processing:ore","Порог здания, не ценовой предмет.","Рудная очистка L5 требует 2 звезды Каменного Свода.","Ранний гейт тяжелой рудной переработки."
12,base,L9,stone_vault,"processing:ore","Порог здания, не ценовой предмет.","Рудная очистка L9 требует 3 звезды Каменного Свода.","Средний гейт тяжелой рудной переработки."
13,base,L14,stone_vault,"processing:ore","Порог здания, не ценовой предмет.","Рудная очистка L14 требует 4 звезды Каменного Свода.","Поздний гейт тяжелой рудной переработки."
14,base,L20,stone_vault,"processing:ore","Порог здания, не ценовой предмет.","Рудная очистка L20 требует 5 звезд Каменного Свода.","Финальный гейт тяжелой рудной переработки."
15,base,L5,mist_synod,"processing:gas","Порог здания, не ценовой предмет.","Газоразделение L5 требует 2 звезды Туманного Синода.","Ранний гейт газовой переработки."
16,base,L9,mist_synod,"processing:gas","Порог здания, не ценовой предмет.","Газоразделение L9 требует 3 звезды Туманного Синода.","Средний гейт газовой переработки."
17,base,L14,mist_synod,"processing:gas","Порог здания, не ценовой предмет.","Газоразделение L14 требует 4 звезды Туманного Синода.","Поздний гейт газовой переработки."
18,base,L20,mist_synod,"processing:gas","Порог здания, не ценовой предмет.","Газоразделение L20 требует 5 звезд Туманного Синода.","Финальный гейт газовой переработки."
19,base,L5,factory_ark,"processing:automatondismantling","Порог здания, не ценовой предмет.","Разбор автоматонов L5 требует 2 звезды Заводных Ковчегов.","Ранний гейт точных деталей."
20,base,L10,factory_ark,"processing:automatondismantling","Порог здания, не ценовой предмет.","Разбор автоматонов L10 требует 3 звезды Заводных Ковчегов.","Средний гейт точных деталей."
21,base,L5,devourers,"processing:leviathanprocessing","Порог здания, не ценовой предмет.","Разделка левиафанов L5 требует 2 звезды Пожирателей.","Ранний гейт охотничьей промышленности."
22,base,L10,devourers,"processing:leviathanprocessing","Порог здания, не ценовой предмет.","Разделка левиафанов L10 требует 3 звезды Пожирателей.","Средний гейт охотничьей промышленности."
23,base,L6,stone_vault,"cascade:metallurgy","Порог цеха, не ценовой предмет.","Металлургия L6 требует 2 звезды Каменного Свода.","Гейт сплавов и броневых материалов."
24,base,L6,mist_synod,"cascade:chemicalreactor","Порог цеха, не ценовой предмет.","Химический реактор L6 требует 2 звезды Туманного Синода.","Гейт полимеров и газовой химии."
25,base,L6,factory_ark,"cascade:mechanical","Порог цеха, не ценовой предмет.","Механический цех L6 требует 2 звезды Заводных Ковчегов.","Гейт машинных узлов."
26,base,L8,factory_ark,"cascade:instrumentation","Порог цеха, не ценовой предмет.","Приборный цех L8 требует 3 звезды Заводных Ковчегов.","Гейт точных приборов."
27,base,L8,wind_houses,"cascade:assembly","Порог цеха, не ценовой предмет.","Сборочный цех L8 требует 3 звезды Ветровых Домов.","Гейт крупных сборок."
28,base,L10,capital,"cascade:construction","Порог цеха, не ценовой предмет.","Строительный цех L10 требует 3 звезды Империи.","Гейт городской стройки."
29,base,L10,mist_synod,"cascade:electrical","Порог цеха, не ценовой предмет.","Электрический цех L10 требует 3 звезды Туманного Синода.","Гейт сложных электрических компонентов."
30,base,L12,factory_ark,"cascade:automaton","Порог цеха, не ценовой предмет.","Автоматонный цех L12 требует 4 звезды Заводных Ковчегов.","Гейт поздней автоматонной промышленности."
