id_package,base_package_id,upgrade_level,ship_id,local_name_ru,role_ru,power_multiplier,upgrade_cost_multiplier,length_m,structure_hp,kinetic_resistance_percent,thermal_resistance_percent,chemical_resistance_percent,explosive_resistance_percent,cargo_capacity_tons,cruise_speed_ms,acceleration_ms2,turn_rate_deg_per_second,detection_range_m,notes_ru
korshun_hull_patrol,,base,capital_patrol_frigate_r02,Патрульный корпус,Базовая универсальная компоновка,1.00,1.00,60,16000,48,18,18,28,40,46,13.24,25,4800,Стандартный Коршун без выраженного перекоса
korshun_hull_patrol_plus,korshun_hull_patrol,plus,capital_patrol_frigate_r02,Патрульный корпус +,Усиленная универсальная компоновка,1.50,4.00,60,24000,62,24,22,36,56,54,15.54,31,4300,Дорогая доводка всех узлов без смены роли
korshun_hull_assault,,base,capital_patrol_frigate_r02,Штурмовой корпус,Больше защиты и прочности меньше скорость,1.00,1.00,60,20000,64,20,18,36,35,40,11.51,20,5600,Тяжелее держит прямой огонь лучше
korshun_hull_assault_plus,korshun_hull_assault,plus,capital_patrol_frigate_r02,Штурмовой корпус +,Сильно усиленная защитная компоновка,1.50,4.00,60,30000,78,24,20,44,45,46,13.24,25,5400,Максимально живучая версия фрегата
korshun_hull_fast,,base,capital_patrol_frigate_r02,Скоростной корпус,Меньше защиты выше ход и маневр,1.00,1.00,60,13500,34,14,16,22,32,58,16.69,31,4300,Для налета отхода и торпедного удара
korshun_hull_fast_plus,korshun_hull_fast,plus,capital_patrol_frigate_r02,Скоростной корпус +,Дорогая доводка скорости и маневра,1.50,4.00,60,19000,44,18,18,28,42,74,21.30,39,3800,Быстрый фрегат уже не совсем бумажный
korshun_hull_cargo,,base,capital_patrol_frigate_r02,Грузовой корпус,Больше трюм слабее защита,1.00,1.00,60,15000,40,16,18,24,70,42,12.09,20,5200,Для добычи и перевозки с умеренной боеспособностью
korshun_hull_cargo_plus,korshun_hull_cargo,plus,capital_patrol_frigate_r02,Грузовой корпус +,Глубокий трюм с усиленной рамой,1.45,4.00,60,22000,52,20,20,31,105,48,13.82,24,5000,Грузовой вариант становится полноценной рабочей машиной
korshun_hull_stealth,,base,capital_patrol_frigate_r02,Малозаметный корпус,Лучше скрытность слабее защита,1.00,1.00,60,13000,30,16,24,20,32,48,13.82,26,2600,Позже обнаруживается и хуже держит прямой бой
korshun_hull_stealth_plus,korshun_hull_stealth,plus,capital_patrol_frigate_r02,Малозаметный корпус +,Глубокая доводка скрытности,1.50,4.00,60,18500,40,20,32,26,42,54,15.54,32,1800,Редкая дорогая версия для засад и разведки
