ship_id,local_name_ru,faction_id,ship_class_id,primary_activity,craft_full_eff_fe,target_fe_per_elite_sortie_for_5_sortie_payback,modeled_total_value_fe,modeled_liquid_fe,required_payload,payload_source_id,payload_details,payload_value_fe,payload_vs_target
capital_artillery_cruiser_r10,Аврора,capital,cruiser,combat,17090114.00,3418022.80,4366643.28,2819603.94,боевой контракт на 3418023 FE+ ценности,combat,фрахт 1097899 FE; добыча/трофеи 499045 FE; профильная валюта 124761 FE; репутация 74857 FE; инфа 0 FE; материальное 623806 FE; нематериальное 1871419 FE; бонус выхода 1871419 FE,4366643.28,1.28
capital_bomb_artillery_cruiser_r10,Вулкан,capital,cruiser,combat,16421975.00,3284395.00,4043532.91,2610966.97,боевой контракт на 3284395 FE+ ценности,combat,фрахт 1016660 FE; добыча/трофеи 462118 FE; профильная валюта 115530 FE; репутация 69318 FE; инфа 0 FE; материальное 577648 FE; нематериальное 1732943 FE; бонус выхода 1732943 FE,4043532.91,1.23
capital_cargo_frigate_r10,Опора,capital,frigate,courier,13705142.00,2741028.40,3407619.90,1455145.79,курьерский контракт на 2741028 FE+ ценности,courier,фрахт 589426 FE; добыча/трофеи 221035 FE; профильная валюта 55259 FE; репутация 773622 FE; инфа 0 FE; материальное 276294 FE; нематериальное 1565663 FE; бонус выхода 1565663 FE,3407619.90,1.24
capital_heavy_battleship_r10,Титан,capital,battleship,combat,21589320.00,4317864.00,4574506.12,2953823.95,боевой контракт на 4317864 FE+ ценности,combat,фрахт 1150162 FE; добыча/трофеи 522801 FE; профильная валюта 130700 FE; репутация 78420 FE; инфа 0 FE; материальное 653501 FE; нематериальное 1960503 FE; бонус выхода 1960503 FE,4574506.12,1.06
capital_industrial_battleship_r10,Доминион,capital,battleship,mining,23187481.00,4637496.20,4637496.20,3889512.94,royal_vein 42.1 т сырья,royal_vein,copper 10.5 т; quartz 1.7 т; claudium 842 кг; monazite 842 кг; gems 2.1 т,4637496.20,1.00
capital_industrial_cruiser_r10,Экспедитор,capital,cruiser,courier,17479980.00,3495996.00,3667074.92,1565940.10,курьерский контракт на 3495996 FE+ ценности,courier,фрахт 634305 FE; добыча/трофеи 237864 FE; профильная валюта 59466 FE; репутация 832525 FE; инфа 0 FE; материальное 297330 FE; нематериальное 1684872 FE; бонус выхода 1684872 FE,3667074.92,1.05
capital_light_recon_cruiser_r10,Фарватер,capital,cruiser,combat,17163637.00,3432727.40,4224929.82,2728097.54,боевой контракт на 3432727 FE+ ценности,combat,фрахт 1062268 FE; добыча/трофеи 482849 FE; профильная валюта 120712 FE; репутация 72427 FE; инфа 0 FE; материальное 603561 FE; нематериальное 1810684 FE; бонус выхода 1810684 FE,4224929.82,1.23
capital_long_range_heavy_cruiser_r10,Монарх,capital,cruiser,combat,17642947.00,3528589.40,4214681.40,2721479.99,боевой контракт на 3528589 FE+ ценности,combat,фрахт 1059691 FE; добыча/трофеи 481678 FE; профильная валюта 120419 FE; репутация 72252 FE; инфа 0 FE; материальное 602097 FE; нематериальное 1806292 FE; бонус выхода 1806292 FE,4214681.40,1.19
capital_patrol_frigate_r10,Орлан,capital,frigate,combat,13516886.00,2703377.20,3131569.17,2022098.95,боевой контракт на 2703377 FE+ ценности,combat,фрахт 787366 FE; добыча/трофеи 357894 FE; профильная валюта 89473 FE; репутация 53684 FE; инфа 0 FE; материальное 447367 FE; нематериальное 1342101 FE; бонус выхода 1342101 FE,3131569.17,1.16
capital_recon_frigate_r10,Аргус,capital,frigate,courier,13156596.00,2631319.20,2105427.54,899074.46,курьерский контракт на 2631319 FE+ ценности,courier,фрахт 364182 FE; добыча/трофеи 136568 FE; профильная валюта 34142 FE; репутация 477989 FE; инфа 0 FE; материальное 170710 FE; нематериальное 967359 FE; бонус выхода 967359 FE,2105427.54,0.80
capital_repair_cruiser_r10,Милосерд,capital,cruiser,repair,17384645.00,3476929.00,4345131.59,1415829.39,ремонтный контракт на 3476929 FE+ ценности,repair,фрахт 439395 FE; добыча/трофеи 439395 FE; профильная валюта 97643 FE; репутация 1122899 FE; инфа 0 FE; материальное 537039 FE; нематериальное 1904046 FE; бонус выхода 1904046 FE,4345131.59,1.25
devourers_bomb_cruiser_r10,Бомбардир,devourers,cruiser,combat,17520816.00,3504163.20,4344807.56,2805504.31,боевой контракт на 3504163 FE+ ценности,combat,фрахт 1092409 FE; добыча/трофеи 496549 FE; профильная валюта 124137 FE; репутация 74482 FE; инфа 0 FE; материальное 620687 FE; нематериальное 1862060 FE; бонус выхода 1862060 FE,4344807.56,1.24
devourers_brawler_frigate_r10,Бойня,devourers,frigate,combat,13729057.00,2745811.40,3648887.47,2356138.77,боевой контракт на 2745811 FE+ ценности,combat,фрахт 917435 FE; добыча/трофеи 417016 FE; профильная валюта 104254 FE; репутация 62552 FE; инфа 0 FE; материальное 521270 FE; нематериальное 1563809 FE; бонус выхода 1563809 FE,3648887.47,1.33
devourers_harpoon_cruiser_r10,Удержник,devourers,cruiser,hunting,16294424.00,3258884.80,3258884.80,2657244.53,shellback 30 т туши,shellback,leviathan_meat 6.0 т; leviathan_fat 2.4 т; leviathan_hide 3.6 т; leviathan_sinew 1.8 т; bone_grit 1.2 т; +2 поз.,3402000.00,1.04
devourers_harpoon_frigate_r10,Крюк,devourers,frigate,hunting,14503042.00,2900608.40,2900608.40,2365111.46,shellback 30 т туши,shellback,leviathan_meat 6.0 т; leviathan_fat 2.4 т; leviathan_hide 3.6 т; leviathan_sinew 1.8 т; bone_grit 1.2 т; +2 поз.,3402000.00,1.17
devourers_leviathan_hunter_battleship_r10,Левиафан,devourers,battleship,combat,22822034.00,4564406.80,5103942.47,3295688.57,боевой контракт на 4564407 FE+ ценности,combat,фрахт 1283277 FE; добыча/трофеи 583308 FE; профильная валюта 145827 FE; репутация 87496 FE; инфа 0 FE; материальное 729135 FE; нематериальное 2187404 FE; бонус выхода 2187404 FE,5103942.47,1.12
devourers_leviathan_processor_battleship_r10,Мясокомбинат,devourers,battleship,hunting,22005415.00,4401083.00,4401083.00,3588575.37,sail_ray 45 т туши,sail_ray,leviathan_meat 13.5 т; leviathan_fat 6.3 т; leviathan_hide 8.1 т; leviathan_sinew 3.1 т; leviathan_ichor 1.4 т; +1 поз.,7393500.00,1.68
devourers_ore_hauler_frigate_r10,Обоз,devourers,frigate,mining,13121185.00,2624237.00,2624237.00,2200972.97,murky_monazite 69.9 т сырья,murky_monazite,quartz 11.2 т; calcite 1.4 т; claudium 4.2 т; monazite 1.0 т; gems 699 кг,2624237.00,1.00
devourers_ripper_cruiser_r10,Риппер,devourers,cruiser,combat,17492315.00,3498463.00,4440336.36,2867188.62,боевой контракт на 3498463 FE+ ценности,combat,фрахт 1116427 FE; добыча/трофеи 507467 FE; профильная валюта 126867 FE; репутация 76120 FE; инфа 0 FE; материальное 634334 FE; нематериальное 1903001 FE; бонус выхода 1903001 FE,4440336.36,1.27
factory_ark_assault_cruiser_r10,Авангард,factory_ark,cruiser,repair,16563501.00,3312700.20,4030847.21,1313422.12,ремонтный контракт на 3312700 FE+ ценности,repair,фрахт 407614 FE; добыча/трофеи 407614 FE; профильная валюта 90581 FE; репутация 1041680 FE; инфа 0 FE; материальное 498195 FE; нематериальное 1766326 FE; бонус выхода 1766326 FE,4030847.21,1.22
factory_ark_automaton_factory_battleship_r10,Фабрика,factory_ark,battleship,salvage,23492177.00,4698435.40,4698435.40,3701797.59,точный сальваж 3151 узлов,automaton_precision_bundle,automaton_core 666 шт.; automaton_servo_core 705 шт.; automaton_command_cylinder 615 шт.; automaton_logic_drum 556 шт.; automaton_gyroscope 347 шт.; automaton_optic_lens 262 шт.,4702950.00,1.00
