material_id,local_name_ru,layer,recipe_inputs_ru,recipe_input_ids,notes_ru
steel,Сталь,prepared_material,"Железо; уголь; кальцит","iron;charcoal;calcite","Базовый конструкционный металл: корпус, балки, палубы и простые машины."
bronze,Бронза,prepared_material,"Медь; олово; костяная мука","copper;tin;bone_grit","Износостойкий металл для втулок, подшипников, палубных механизмов и старых приводов."
brass,Латунь,prepared_material,"Медь; цинк; сильвин","copper;zinc;sylvine","Приборный и арматурный металл: клапаны, фитинги, шлюзовая механика и мелкая точная сборка."
elektron,Электрон,prepared_material,"Магний; цинк; аэросил","magnesium;zinc;aerosil","Легкий магниевый материал для быстрых и грузовых корпусов вместо алюминиевой дюрали."
bulat,Булат,prepared_material,"Железо; монацит; кислота","iron;monazite;acid","Дорогая прочная сталь для броневых и силовых деталей; кислота нужна для травления и очистки."
melchior,Мельхиор,prepared_material,"Медь; никель; ионид","copper;nickel;ionide","Приборный проводящий материал для сенсоров, куполов, дальномеров и стабильных контактов."
invar,Инвар,prepared_material,"Железо; никель; нульгаз","iron;nickel;nulgas","Стабильный металл для точных рам, гироскопов и приборов, почти не ведущийся от нагрева."
orkit,Оркит,prepared_material,"Клавдий; фульгур; костяная мука","claudium;fulgur;bone_grit","Местный летный силовой материал для дорогих узлов, где нужны подъем, энергия и стойкость."
resin,Смола,prepared_material,"Веспар; ворвань; кислота","vespar;leviathan_fat;acid","Герметик, связующее и основа ранних полимеров."
rubber,Каучук,prepared_material,"Веспар; шкура; сильвин","vespar;leviathan_hide;sylvine","Эластичный материал для уплотнений, подвесов, шлангов и мягкой защиты."
bakelite,Бакелит,prepared_material,"Аэросил; кальцит; кислота","aerosil;calcite;acid","Жесткий изоляционный материал для корпусов приборов, панелей и простых электрических узлов."
textolite,Текстолит,prepared_material,"Шкура; кварц; ионид","leviathan_hide;quartz;ionide","Слоистый приборный материал для плат, рамок, изоляции и точной механики."
fluoroplastic,Фторопласт,prepared_material,"Нульгаз; кислота; сильвин","nulgas;acid;sylvine","Химически стойкий материал для агрессивных газов, клапанов и продвинутых уплотнений."
aramid,Арамид,prepared_material,"Сухожилия; фульгур; кальцит","leviathan_sinew;fulgur;calcite","Прочный волокнистый материал для тросов, гарпунов, тяг и защитных оболочек."
siloxane,Силоксан,prepared_material,"Кварц; веспар; кислота","quartz;vespar;acid","Гибкий кремнийорганический материал для покрытий, кожухов и температурной защиты."
glass_ceramic,Стеклокерамика,prepared_material,"Кварц; костяная мука; фульгур","quartz;bone_grit;fulgur","Твердый изоляционный и оптический материал для сенсоров, окон, сопел и жаростойких вставок."
