item_id,local_name_ru,category,value_fe_per_unit,wind_buyback_percent,notes_ru
charcoal,Уголь,processed_mineral,10,0.15,Массовое промышленное топливо и отдельный реагент для стали.
iron,Железо,processed_mineral,20,0.15,Базовый массовый металл.
copper,Медь,processed_mineral,30,0.15,Приборы проводка теплообмен и латунно-медные материалы.
magnesium,Магний,processed_mineral,40,0.15,Легкие конструкции и электрон.
quartz,Кварц,processed_mineral,30,0.15,Оптика изоляция стеклокерамика и сенсорика.
calcite,Кальцит,processed_mineral,40,0.15,Флюс минеральные добавки фильтры и огнестойкость.
sylvine,Сильвин,processed_mineral,50,0.15,Соли химия уплотнения и стойкие полимеры.
claudium,Клавдий,processed_mineral,120,0.12,Летный минерал и дорогие силовые материалы.
monazite,Монацит,processed_mineral,450,0.12,Редкая добавка для булата и высоких рецептов.
tin,Олово,processed_mineral,50,0.15,Бронза пайка втулки и мягкая машинная химия.
zinc,Цинк,processed_mineral,50,0.15,Латунь электрон покрытия и противокоррозионные добавки.
nickel,Никель,processed_mineral,80,0.15,Мельхиор инвар стойкие приборные и точные материалы.
gems,Геммы,faction_currency,1800,0.00,Ценность Каменного Свода и высокоуровневых руд.
nobel,Нобель,faction_currency,1500,0.00,Ценность Туманного Синода.
perfcards,Перфокарты,faction_currency,2200,0.00,Ценность Заводных Ковчегов.
amber,Амбра,faction_currency,2500,0.00,Ценность Пожирателей и редкая левиафановая добыча.
aerosil,Аэросил,cloud_gas_fraction,20,0.15,Массовая газовая фракция для бакелита фильтров и простой химии.
vespar,Веспар,cloud_gas_fraction,80,0.15,Летучая фракция для смол каучуков и силоксанов.
fulgur,Фульгур,cloud_gas_fraction,180,0.15,Энергетическая фракция для оркита арамидов и стеклокерамики.
ionide,Ионид,cloud_gas_fraction,240,0.15,Приборная фракция для сенсоров вычислителей и точной настройки.
nulgas,Нульгаз,cloud_gas_fraction,600,0.12,Редкая фракция для инвара фторопласта и поздней химии.
leviathan_meat,Мясо левиафана,leviathan_material,15,0.12,Еда население и биомасса.
leviathan_fat,Ворвань левиафана,leviathan_material,80,0.15,Смазка топливо герметизация и смолы.
leviathan_hide,Шкура левиафана,leviathan_material,600,0.15,Листовой биоматериал для каучука текстолита и обшивки.
leviathan_sinew,Сухожилия левиафана,leviathan_material,280,0.15,Тросы тяги арамид и охотничьи механизмы.
bone_grit,Костяная мука,leviathan_material,30,0.12,Керамическая и фильтрующая добавка.
acid,Кислота,leviathan_material,180,0.15,Травление очистка стойкая химия и реакторные материалы.
leviathan_ichor,Ихор левиафана,leviathan_material,450,0.12,Биокатализатор для редких ремонтных и регенеративных компонентов.
automaton_relay,Реле,automaton_salvage,200,0.12,Точный коммутационный узел после разборки автоматонов.
automaton_contact_comb,Контактная гребенка,automaton_salvage,240,0.12,Мелкая контактная схема для приборов и вычислителей.
automaton_coil,Катушка,automaton_salvage,280,0.12,Управляющая катушка для приводов и силовых контуров.
automaton_brass_valve,Латунный клапан,automaton_salvage,380,0.12,Готовая точная арматура для насосов и компрессоров.
