level,unlock_rank_band,upgrade_cost_fe,upgrade_time_min,recipe_speed_bonus_percent,processing_yield_bonus_percent,new_family_budget_per_building,notes_ru
1,R2,0,0,0,0,4,Стартовый доступ к простым рецептам.
2,R2,150,5,1,0,4,Раннее расширение.
3,R2,250,10,2,0,4,Закрывает первую полосу.
4,R3,450,20,3,0,5,Открывает R3.
5,R3,700,35,4,1,5,Больше простых материалов.
6,R3,1050,55,5,1,5,Закрывает R3.
7,R4,1600,80,6,1,6,Первые автоматоны/левиафаны/смешанные цепочки.
8,R4,2300,120,7,2,6,Усиление переработки I.
9,R4,3200,180,8,2,6,Закрывает R4.
10,R5,4500,260,9,2,7,Первый серьезный слой деталей.
11,R5,6200,360,10,3,7,Больше bottleneck-рецептов.
12,R5,8500,480,11,3,7,Закрывает R5.
13,R6,11500,650,12,3,8,Уверенная средняя промышленность.
14,R6,15500,850,13,4,8,Больше специализации.
15,R6,20500,1100,14,4,8,Стабилизация R6.
16,R6,27000,1400,15,4,8,Закрывает R6.
17,R7,35500,1800,16,5,8,Развитые цепочки.
18,R7,46500,2300,17,5,8,Больше редких входов.
19,R7,61000,2900,18,5,8,Стабилизация R7.
20,R7,80000,3600,19,6,8,Закрывает R7.
21,R8,105000,4500,20,6,8,Верхняя промышленность.
22,R8,138000,5600,21,6,8,Усиление bottleneck.
23,R8,180000,7000,22,7,8,Больше C/D линий.
24,R8,235000,8600,23,7,8,Закрывает R8.
25,R9,305000,10500,24,7,6,Почти топовый слой.
26,R9,395000,12800,25,8,6,Дорогие компоненты.
27,R9,510000,15500,26,8,6,Закрывает R9.
28,R10,660000,18800,27,8,4,Топовый T1.
29,R10,850000,22600,28,9,4,Подготовка T2 bottleneck.
30,R10_T2,1100000,27000,30,10,4,Потолок здания; виртуальные R11*-R15* живут здесь через редкие рецепты.
