quest_id,local_name_ru,local_name_en,faction_id,quest_kind,category_id,description_ru,objective_type,target_id,target_amount,activation_mode,claim_mode,required_quest_id,reward_item_id,reward_amount,reward_item2_id,reward_item2_amount,reward_freight_amount,reward_mastery_amount,reward_reputation_faction_id,reward_reputation_amount,sort_order
quest_have_start_freight,Запас фрахтов,Starting Freight,,,main,Накопите первые фрахты,resource_owned,freight,500,retroactive,auto,,solid,1,,,,,,,10
quest_spend_first_freight,Первые расходы,First Spend,,,main,Потратьте фрахты на развитие,resource_spent,freight,100,from_accept,manual,quest_have_start_freight,solid,1,,,,,,,20
quest_collect_windshale,Сланцевый запас,Windshale Stock,,,extraction,Получите ветровой сланец,resource_acquired,windshale_ore,50,retroactive,manual,,freight,120,,,,,,,30
quest_spend_windshale,Сланец в дело,Spend Windshale,,,production,Потратьте ветровой сланец,resource_spent,windshale_ore,20,from_accept,auto,quest_collect_windshale,freight,80,,,,,,,40
quest_collect_claudium,Клавдиевый резерв,Claudium Reserve,,,extraction,Накопите клавдий на базе,resource_owned,claudium,100,retroactive,auto,,freight,100,,,,,,,50
quest_send_first_courier,Первый курьер,First Courier,,,courier,Отправьте курьерский корабль,courier_sent,any,1,retroactive,manual,,freight,180,,,,,,,60
quest_send_three_couriers,Курьерская смена,Courier Shift,,,courier,Отправьте три курьера,courier_sent,any,3,retroactive,manual,quest_send_first_courier,solid,2,,,,,,,70
quest_cancel_courier,Перепланировка заявки,Cancel Courier,,,courier,Отмените курьерскую заявку,courier_cancelled,any,1,from_accept,manual,quest_send_first_courier,freight,80,,,,,,,80
quest_start_knowledge,Архивы в работе,Archive Started,,,knowledge,Направьте архивы в любое знание,technology_started,any,1,retroactive,auto,,freight,100,,,,,,,90
quest_complete_storehouse,Складские ведомости,Storehouse Ledgers,,,knowledge,Изучите складские ведомости,technology_completed,tech_base_storehouse_ledgers,1,retroactive,manual,quest_start_knowledge,solid,2,,,,,,,100
quest_ore_processing_l2,Рудная линия II,Ore Processing II,,,production,Улучшите переработку руды до второго уровня,base_processing_level,ore,2,retroactive,manual,,freight,160,,,,,,,110
quest_gas_processing_l2,Газовая линия II,Gas Processing II,,,production,Улучшите переработку газа до второго уровня,base_processing_level,gas,2,retroactive,auto,,freight,160,,,,,,,120
quest_cascade_assembly_l2,Сборочный каскад II,Assembly Cascade II,,,production,Улучшите сборочный каскад до второго уровня,cascade_line_level,assembly,2,retroactive,manual,,freight,220,,,,,,,130
quest_airframe_order,Набор корпуса,Airframe Kit,,,production,Завершите заказ набора корпуса,cascade_order_completed,airframe_kit,1,retroactive,manual,,freight,200,,,,,,,140
quest_module_order,Набор модуля,Module Kit,,,production,Завершите заказ набора модуля,cascade_order_completed,module_kit,1,retroactive,auto,quest_airframe_order,freight,160,,,,,,,150
quest_safe_ore_sortie,Возвращение с руды,Ore Sortie,,,sortie,Вернитесь из рудного вылета,sortie_completed,safe_ore_boulders,1,retroactive,manual,,freight,220,,,,,,,160
quest_install_gas_extractor,Газовый экстрактор,Gas Extractor,,,fitting,Установите газовый экстрактор,ship_module_installed,starter_gas_extractor,1,retroactive,manual,,freight,180,,,,,,,170
quest_install_mining_hold,Рудный трюм,Mining Hold,,,fitting,Установите рудный трюм,ship_module_installed,starter_mining_hold,1,retroactive,manual,quest_install_gas_extractor,freight,180,,,,,,,180
quest_claim_manual_reward,Ручная награда,Manual Reward,,,main,Получите награду вручную после прогресса,resource_acquired,design_experience,10,retroactive,manual,,freight,100,,,,,,,200
fquest_capital_01,Империя: поручение 01,Capital Contract 01,capital,campaign,faction_campaign,"Шаг 1 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,20,retroactive,manual,,solid,2,,,250,30,capital,20,10001
fquest_capital_02,Империя: поручение 02,Capital Contract 02,capital,campaign,faction_campaign,"Шаг 2 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,30,retroactive,manual,fquest_capital_01,solid,3,,,327,33,capital,24,10002
fquest_capital_03,Империя: поручение 03,Capital Contract 03,capital,campaign,faction_campaign,"Шаг 3 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,45,retroactive,manual,fquest_capital_02,solid,4,,,403,37,capital,27,10003
fquest_capital_04,Империя: поручение 04,Capital Contract 04,capital,campaign,faction_campaign,"Шаг 4 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,67,retroactive,manual,fquest_capital_03,solid,6,,,480,40,capital,31,10004
fquest_capital_05,Империя: поручение 05,Capital Contract 05,capital,campaign,faction_campaign,"Шаг 5 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,100,retroactive,manual,fquest_capital_04,solid,7,capital_ordnance_blank,1,556,44,capital,35,10005
fquest_capital_06,Империя: поручение 06,Capital Contract 06,capital,campaign,faction_campaign,"Шаг 6 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,138,retroactive,manual,fquest_capital_05,solid,8,,,633,47,capital,38,10006
fquest_capital_07,Империя: поручение 07,Capital Contract 07,capital,campaign,faction_campaign,"Шаг 7 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,190,retroactive,manual,fquest_capital_06,solid,9,,,709,51,capital,42,10007
fquest_capital_08,Империя: поручение 08,Capital Contract 08,capital,campaign,faction_campaign,"Шаг 8 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,263,retroactive,manual,fquest_capital_07,solid,10,,,786,54,capital,46,10008
fquest_capital_09,Империя: поручение 09,Capital Contract 09,capital,campaign,faction_campaign,"Шаг 9 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,362,retroactive,manual,fquest_capital_08,solid,11,,,862,58,capital,49,10009
fquest_capital_10,Империя: поручение 10,Capital Contract 10,capital,campaign,faction_campaign,"Шаг 10 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,500,retroactive,manual,fquest_capital_09,solid,13,capital_turret_ring,1,939,61,capital,53,10010
fquest_capital_11,Империя: поручение 11,Capital Contract 11,capital,campaign,faction_campaign,"Шаг 11 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,563,retroactive,manual,fquest_capital_10,solid,14,,,1015,65,capital,57,10011
fquest_capital_12,Империя: поручение 12,Capital Contract 12,capital,campaign,faction_campaign,"Шаг 12 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,635,retroactive,manual,fquest_capital_11,solid,15,,,1092,68,capital,60,10012
fquest_capital_13,Империя: поручение 13,Capital Contract 13,capital,campaign,faction_campaign,"Шаг 13 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,715,retroactive,manual,fquest_capital_12,solid,16,,,1168,72,capital,64,10013
fquest_capital_14,Империя: поручение 14,Capital Contract 14,capital,campaign,faction_campaign,"Шаг 14 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,806,retroactive,manual,fquest_capital_13,solid,17,,,1245,75,capital,68,10014
fquest_capital_15,Империя: поручение 15,Capital Contract 15,capital,campaign,faction_campaign,"Шаг 15 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,909,retroactive,manual,fquest_capital_14,solid,19,,,1321,79,capital,71,10015
fquest_capital_16,Империя: поручение 16,Capital Contract 16,capital,campaign,faction_campaign,"Шаг 16 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,1024,retroactive,manual,fquest_capital_15,solid,20,,,1398,82,capital,75,10016
fquest_capital_17,Империя: поручение 17,Capital Contract 17,capital,campaign,faction_campaign,"Шаг 17 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,1154,retroactive,manual,fquest_capital_16,solid,21,,,1474,86,capital,79,10017
fquest_capital_18,Империя: поручение 18,Capital Contract 18,capital,campaign,faction_campaign,"Шаг 18 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,1300,retroactive,manual,fquest_capital_17,solid,22,,,1551,89,capital,82,10018
fquest_capital_19,Империя: поручение 19,Capital Contract 19,capital,campaign,faction_campaign,"Шаг 19 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,1465,retroactive,manual,fquest_capital_18,solid,23,,,1628,92,capital,86,10019
fquest_capital_20,Империя: поручение 20,Capital Contract 20,capital,campaign,faction_campaign,"Шаг 20 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,1651,retroactive,manual,fquest_capital_19,solid,24,capital_breech_group,1,1704,96,capital,90,10020
fquest_capital_21,Империя: поручение 21,Capital Contract 21,capital,campaign,faction_campaign,"Шаг 21 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,1860,retroactive,manual,fquest_capital_20,solid,26,,,1781,99,capital,93,10021
fquest_capital_22,Империя: поручение 22,Capital Contract 22,capital,campaign,faction_campaign,"Шаг 22 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,2096,retroactive,manual,fquest_capital_21,solid,27,,,1857,103,capital,97,10022
fquest_capital_23,Империя: поручение 23,Capital Contract 23,capital,campaign,faction_campaign,"Шаг 23 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,2362,retroactive,manual,fquest_capital_22,solid,28,,,1934,106,capital,101,10023
