ore_id,local_name_ru,min_mining,crusher_wear_per_ton,base_weight,lucky_weight,iron_pct,copper_pct,magnesium_pct,quartz_pct,charcoal_pct,calcite_pct,sylvine_pct,claudium_pct,monazite_pct,gems_pct,waste_pct,notes_ru
coal_slag,Угольная гарь,4,0.55,110,20,1,0,0,1,42,0,0,0,0,0,56,Раннее дешевое топливо; низкая ценность но легко добывается.
rustwort,Ржавик,8,0.80,120,35,18,0,0,4,0,3,0,0,0,0,75,Бедная железная база.
whitequartz,Белокварц,10,0.90,90,65,0,0,1,24,0,3,0,0,0,0.1,71.9,Ранняя оптика и мелкий геммовый хвост.
salty_chalk,Соленый мел,12,0.95,70,80,0,0,0,2,0,18,14,0,0,0.1,65.9,Соль флюс химия; выгодный ранний прок.
copper_dust,Медная пыль,14,1.00,85,70,1,12,0,8,0,0,0,0,0,0,79,Ранняя бедная медь.
dense_rustwort,Плотный ржавик,18,1.18,95,75,30,0,0,0,2,4,0,0,0,0,64,Хорошая железная руда для ранней металлургии.
medyanka,Медянка,22,1.25,80,80,0,24,2,5,0,0,0,0,0,0.1,68.9,Средняя медная руда.
light_tuff,Светлый туф,24,1.32,78,80,0,0,20,8,0,4,0,0,0,0.1,67.9,Магний кварц и легкие рамы.
moon_salt,Лунная соль,28,1.42,65,78,0,0,5,0,0,3,20,5,0,0.2,66.8,Солевая руда с летным включением.
gromite,Громит,32,1.55,70,70,22,2,0,0,12,0,0,0,0,0,64,Железо плюс печная примесь.
bluevein,Синежил,36,1.68,62,75,0,16,0,14,0,0,0,2,0,0.2,67.8,Приборная медно-кварцевая руда.
needle_chalk,Игломел,38,1.75,60,72,0,0,10,20,0,3,0,0,0,0.1,66.9,Легкие точные детали.
ash_karst,Пепельный карст,42,1.82,56,65,0,0,0,0,25,12,2,0,0,0,61,Топливо и флюс в одной породе.
heavy_spar,Тяжелый шпат,46,1.95,52,62,24,0,0,3,0,10,0,0,0,0.2,62.8,Тяжелая конструкционная руда.
green_vein,Зеленая жила,50,2.10,48,62,0,14,9,2,0,0,4,0,0,0.3,70.7,Смешанная медно-магниевая руда.
murky_monazite,Мутный монацит,54,2.28,36,70,0,0,0,16,0,2,0,6,1.5,1,73.5,Первая заметная геммоносная руда.
black_clay,Черная глина,58,2.36,50,55,12,0,0,0,18,8,0,0,0,0,62,Грязная но массовая смесь.
iron_root,Железный корень,62,2.55,44,62,38,1,0,0,0,3,0,0,0,0.1,57.9,Богатое железо без чудесной чистоты.
magnesium_foam,Магниевая пена,66,2.72,40,58,0,0,28,12,0,2,0,0,0,0.1,57.9,Богатый магний.
cuprite_ridge,Купритовая гряда,70,2.95,38,58,9,30,0,3,0,0,0,0,0,0.5,57.5,Богатая медь и вторичное железо.
glass_vein,Стекложила,74,3.18,34,62,0,0,0,32,0,0,0,2,1,1.2,63.8,Геммоносная кварцевая жила.
coal_crown,Угольный венец,78,3.35,32,50,1,0,0,0,45,0,3,0,0,0,51,Почти предельный богатый угольный пласт.
silver_tuff,Серебристый туф,84,3.75,24,60,0,0,16,0,0,9,0,7,1,2,65,Поздняя денежно-летная руда.
royal_vein,Королевская жила,90,4.25,20,66,0,25,0,4,0,0,0,2,2,5,62,Денежная медная жила с крупным геммовым выходом.
sun_rift,Солнечный разлом,96,4.65,16,60,0,0,14,12,0,0,5,8,1.5,2,57.5,Богатая высокоуровневая смесь но не чистый концентрат.
black_heart,Черное сердце,99,5.00,10,70,12,6,0,0,22,0,0,5,1,3,51,Редкий джекпотный пласт; половина массы всё еще пустая.
