recipe_id,output_item_id,local_name_ru,layer,building_id,output_amount,base_time_min_level5_building1,input_ids,input_amounts_level5,notes_ru
make_steel,steel,Сталь,prepared_material,metallurgy,10,4.00,iron;charcoal;calcite,16;8;3,"Базовая конструкционная партия: железо, уголь и минеральная присадка."
make_bronze,bronze,Бронза,prepared_material,metallurgy,10,5.00,copper;tin;bone_grit,10;4;4,"Износостойкий металл для втулок, петель и спокойной тяжелой механики."
make_brass,brass,Латунь,prepared_material,metallurgy,10,5.00,copper;zinc;sylvine,10;5;3,"Приборная и арматурная партия для клапанов, фитингов и шлюзовой механики."
make_elektron,elektron,Электрон,prepared_material,metallurgy,10,6.00,magnesium;zinc;aerosil,12;3;8,"Легкий магниевый материал для быстрых корпусов, кожухов и грузовых узлов."
make_bulat,bulat,Булат,prepared_material,metallurgy,10,12.00,iron;monazite;acid,20;3;5,"Дорогая прочная сталь для брони, валов, зубьев и силовых деталей."
make_melchior,melchior,Мельхиор,prepared_material,metallurgy,10,10.00,copper;nickel;ionide,12;5;3,"Приборный проводящий материал для сенсоров, куполов и стабильных контактов."
make_invar,invar,Инвар,prepared_material,metallurgy,10,14.00,iron;nickel;nulgas,14;6;2,"Стабильный металл для точных рам, гироскопов и дальномерных узлов."
make_orkit,orkit,Оркит,prepared_material,metallurgy,10,16.00,claudium;fulgur;bone_grit,8;4;6,"Летный силовой материал для тяги, подъемных контуров и дорогих узлов."
make_resin,resin,Смола,prepared_material,chemical_reactor,10,5.00,vespar;leviathan_fat;acid,6;4;2,Герметик и связующее для ранних полимеров.
make_rubber,rubber,Каучук,prepared_material,chemical_reactor,10,6.00,vespar;leviathan_hide;sylvine,5;2;3,"Эластичная партия для уплотнений, шлангов, подвесов и мягкой защиты."
make_bakelite,bakelite,Бакелит,prepared_material,chemical_reactor,10,6.00,aerosil;calcite;acid,8;5;2,Жесткий изоляционный материал для панелей и приборных корпусов.
make_textolite,textolite,Текстолит,prepared_material,chemical_reactor,10,8.00,leviathan_hide;quartz;ionide,3;8;2,"Слоистый приборный материал для плат, рамок и точной изоляции."
make_fluoroplastic,fluoroplastic,Фторопласт,prepared_material,chemical_reactor,10,14.00,nulgas;acid;sylvine,3;5;5,"Химстойкий материал для агрессивных газов, клапанов и продвинутых уплотнений."
make_aramid,aramid,Арамид,prepared_material,chemical_reactor,10,12.00,leviathan_sinew;fulgur;calcite,4;3;4,"Прочное волокно для тяг, тросов, гарпунов и защитных оболочек."
make_siloxane,siloxane,Силоксан,prepared_material,chemical_reactor,10,8.00,quartz;vespar;acid,8;4;3,"Гибкий кремнийорганический материал для кожухов, покрытий и температурной защиты."
make_glass_ceramic,glass_ceramic,Стеклокерамика,prepared_material,chemical_reactor,10,10.00,quartz;bone_grit;fulgur,10;6;2,"Жаростойкая оптическая и изоляционная партия для окон, сопел и сенсоров."
make_beam,beam,Балка,corpus_part,construction,1,10.00,steel;iron,8;16,Несущая корпусная деталь: сталь и простая масса железа.
make_plating,plating,Обшивка,corpus_part,construction,1,12.00,steel;resin;magnesium,6;4;5,Тонкая внешняя кожа корпуса с герметиком и легкой добавкой.
make_armor_plate,armor_plate,Бронелист,corpus_part,construction,1,24.00,steel;bulat;bone_grit,12;5;8,Толстая защитная плита с дорогой твердой добавкой.
make_bulkhead,bulkhead,Переборка,corpus_part,construction,1,14.00,steel;bakelite;sylvine,8;4;5,"Внутренняя стенка, разделяющая отсеки и изолирующая повреждения."
make_deck_section,deck_section,Палубная секция,corpus_part,construction,1,16.00,steel;bakelite;quartz,10;3;6,"Рабочая верхняя секция под оборудование, башни и люки."
make_airlock,airlock,Шлюз,corpus_part,construction,1,18.00,steel;brass;rubber,8;4;4,Герметичный переход со стальной коробкой и мягкими уплотнениями.
make_cowling,cowling,Кожух,corpus_part,construction,1,22.00,elektron;siloxane;glass_ceramic,5;4;3,Легкая защитная оболочка горячих и выступающих узлов.
make_hatch,hatch,Люк,corpus_part,construction,1,14.00,steel;bronze;rubber,6;4;3,"Закрываемый доступ с петлями, крышкой и уплотнением."
make_engine,engine,Двигатель,machine_instrument_part,mechanical,1,18.00,orkit;charcoal;automaton_mainspring;automaton_servo_core,10;50;5;2,"Тяговая машина: летный материал, топливо и восстановленные автоматоновые узлы."
make_actuator,actuator,Привод,machine_instrument_part,mechanical,1,16.00,aramid;copper;automaton_servo_joint;automaton_coil,6;8;4;5,Силовая тяга вокруг точного шарнира и управляющей катушки.
make_transmission,transmission,Передача,machine_instrument_part,mechanical,1,17.00,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,6;5;4;6,"Зубья, валы, калибровка, возврат и густая смазка."
make_pump,pump,Насос,machine_instrument_part,mechanical,1,15.00,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,5;6;4;3,"Уплотнения, химстойкая обработка и готовая точная арматура давления."
make_compressor,compressor,Компрессор,machine_instrument_part,mechanical,1,20.00,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,5;10;5;4,"Газовая машина со стойкими прокладками, клапанами и давлениемерами."
make_gyroscope,gyroscope,Гироскоп,machine_instrument_part,instrumentation,1,22.00,invar;ionide;automaton_gyroscope;automaton_calibration_gear,5;6;4;3,"Стабильный металл, тонкий сигнал и точное автоматонное сердце узла."
make_sensor,sensor,Сенсор,machine_instrument_part,instrumentation,1,20.00,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,4;6;4;5,"Оптика, сигнал и точная коммутация для разведки и наведения."
make_calculator,calculator,Вычислитель,machine_instrument_part,instrumentation,1,24.00,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,5;8;3;3;5,"Платы, сигнал, память, команды и контактная схема."
make_power_block,power_block,Силовой блок,ship_block,assembly,1,120.00,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,20;4;2;2;2;8;4;3;30;12;5;3;3;8,"Крупное питание корабля: тяга, газовая часть, корпусная защита и точное управление."
make_propulsion_block,propulsion_block,Ходовой блок,ship_block,assembly,1,110.00,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,4;4;2;4;6;3;4;8;12;10;20;10;8,"Большой узел движения: тяга, стабилизация, передачи, легкие материалы и смазка."
make_instrument_block,instrument_block,Приборный блок,ship_block,assembly,1,100.00,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,5;4;3;3;2;12;12;10;6;20;25;8;10;5;10,"Навигация, X-Ray, взлом, расчет огня и точные автоматонные детали."
make_weapon_block,weapon_block,Орудийный блок,ship_block,assembly,1,115.00,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,4;2;2;3;3;4;15;25;10;10;6;8;8;8,"Места башен, приводы, наведение, броня, боезапас и обслуживающие люки."
make_defense_block,defense_block,Защитный блок,ship_block,assembly,1,130.00,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,6;6;6;4;3;2;30;12;10;8;20;8;6;5,"Броня, переборки, аварийные насосы, датчики, изоляция и живучие материалы."
make_cargo_block,cargo_block,Грузовой блок,ship_block,assembly,1,90.00,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,8;5;3;6;4;2;8;10;10;8;20;6;6;6,"Не пустая коробка, а загрузка, створки, герметизация, крепления и доступ к добыче."
make_industry_block,industry_block,Промысловый блок,ship_block,assembly,1,140.00,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,5;5;4;4;3;4;4;4;3;15;12;10;15;6;8;4,"Руда, газ, левиафаны и сальваж в одном большом промышленном узле."
make_hangar_block,hangar_block,Ангарный блок,ship_block,assembly,1,125.00,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,6;6;5;8;6;4;4;4;6;12;12;20;4;10;10;8,"Запуск, возврат, хранение и обслуживание дронов, автоматонов и сервисных машин."
