rank,rank_band,primary_depth,current_depth_share,previous_depth_share,early_or_free_share,notes_ru
R1,R1-R3,0,0.80,0.00,0.20,Стартовый корабль почти весь из глубины 0 и прямых редких добавок
R2,R1-R3,0,0.80,0.00,0.20,Ранний крафт должен быть понятным и дешевым
R3,R1-R3,0,0.80,0.00,0.20,Последний слой без глубокой переработки
R4,R4-R6,1,0.30,0.60,0.10,Первое появление переработки I
R5,R4-R6,1,0.50,0.40,0.10,Середина R4-R6 уже требует заметную долю depth1
R6,R4-R6,1,0.70,0.20,0.10,Закрытие полосы переработки I
R7,R7-R9,2,0.30,0.55,0.15,Первое появление переработки II
R8,R7-R9,2,0.50,0.35,0.15,Середина R7-R9 требует профильную промышленность
R9,R7-R9,2,0.70,0.20,0.10,Закрытие полосы переработки II
R10,R10-R12*,3,0.65,0.25,0.10,Финальный публичный T1 уже опирается на depth3
R11*,R10-R12*,3,0.72,0.18,0.10,Виртуальный нижний T2 бюджет без публичного ранга здания
R12*,R10-R12*,3,0.78,0.12,0.10,Виртуальное закрытие depth3
R13*,R13*-R15*,4,0.40,0.45,0.15,Первое появление переработки IV через редкие рецепты
R14*,R13*-R15*,4,0.50,0.38,0.12,Средний виртуальный верх T2
R15*,R13*-R15*,4,0.60,0.28,0.12,Верхняя виртуальная глубина не должна заменять весь рецепт собой
